customer_id,age,gender,income_bracket,income_range,occupation,city_tier,join_date,churn_flag,age_group,debit_amount,salary_amount,transaction_count,savings_ratio,spend_segment
1,56,Male,Medium,4-8 Lakh,Salaried,Tier 3,8/26/2023,No,Pre-Retirement,10785.43,3374.2400000000002,13.0,0.3128516897332791,Low
2,46,Male,High,8+ Lakh,Salaried,Tier 1,4/22/2020,Yes,Family Stage,7852.89,302.97,10.0,0.03858070086299439,Low
3,32,Female,High,8+ Lakh,Self-Employed,Tier 1,7/17/2023,No,Mid Career,3258.1400000000003,0.0,4.0,0.0,Low
4,60,Female,Medium,4-8 Lakh,Self-Employed,Tier 2,11/15/2020,No,Pre-Retirement,18073.13,0.0,11.0,0.0,Low
5,25,Female,High,8+ Lakh,Business,Tier 3,5/23/2025,No,Early Career,11831.789999999999,0.0,7.0,0.0,Low
6,38,Female,Medium,4-8 Lakh,Business,Tier 3,6/23/2020,No,Mid Career,9560.54,822.4399999999999,8.0,0.08602442958242942,Low
7,56,Male,High,8+ Lakh,Salaried,Tier 1,1/19/2025,No,Pre-Retirement,37224.94,0.0,10.0,0.0,Medium
8,36,Female,Low,2-4 Lakh,Business,Tier 2,11/8/2022,No,Mid Career,20214.62,0.0,12.0,0.0,Medium
9,40,Male,Low,2-4 Lakh,Business,Tier 2,5/11/2023,No,Family Stage,3339.7799999999997,0.0,5.0,0.0,Low
10,28,Male,Medium,4-8 Lakh,Self-Employed,Tier 3,5/12/2025,No,Early Career,14186.380000000001,0.0,8.0,0.0,Low
11,28,Female,Medium,4-8 Lakh,Student,Tier 2,6/7/2025,No,Early Career,25037.05,0.0,14.0,0.0,Medium
12,41,Male,Medium,4-8 Lakh,Unemployed,Tier 2,5/5/2020,No,Family Stage,15464.98,0.0,12.0,0.0,Low
13,53,Male,Medium,4-8 Lakh,Unemployed,Tier 1,9/21/2022,No,Family Stage,12637.1,0.0,7.0,0.0,Low
14,57,Male,Low,2-4 Lakh,Business,Tier 1,1/30/2024,No,Pre-Retirement,18306.58,683.23,13.0,0.03732155323386454,Low
15,41,Male,Medium,4-8 Lakh,Business,Tier 2,9/10/2020,No,Family Stage,16899.59,655.58,12.0,0.03879265709996515,Low
16,20,Female,Low,2-4 Lakh,Unemployed,Tier 1,1/25/2025,Yes,Student,8451.5,3312.7,6.0,0.3919659232088978,Low
17,39,Female,High,8+ Lakh,Self-Employed,Tier 2,7/17/2022,No,Mid Career,19886.42,0.0,12.0,0.0,Low
18,19,Male,High,8+ Lakh,Unemployed,Tier 1,2/5/2022,No,Student,25468.21,0.0,10.0,0.0,Medium
19,41,Female,High,8+ Lakh,Unemployed,Tier 3,12/28/2024,No,Family Stage,5114.16,2264.29,7.0,0.442749151375788,Low
20,61,Male,Low,2-4 Lakh,Unemployed,Tier 1,10/18/2020,Yes,Pre-Retirement,3711.4100000000003,0.0,12.0,0.0,Low
21,47,Female,Medium,4-8 Lakh,Business,Tier 3,3/21/2023,No,Family Stage,7485.96,1154.81,10.0,0.15426344784102505,Low
22,55,Female,High,8+ Lakh,Business,Tier 2,5/16/2025,Yes,Pre-Retirement,17598.61,0.0,12.0,0.0,Low
23,19,Female,High,8+ Lakh,Unemployed,Tier 1,7/17/2020,No,Student,16826.510000000002,0.0,8.0,0.0,Low
24,38,Female,Medium,4-8 Lakh,Business,Tier 1,5/7/2023,No,Mid Career,12330.77,12693.95,10.0,1.0294531485057299,Low
25,50,Female,Medium,4-8 Lakh,Unemployed,Tier 3,1/11/2025,Yes,Family Stage,22650.0,6328.61,11.0,0.27940883002207506,Medium
26,29,Male,Medium,4-8 Lakh,Self-Employed,Tier 1,11/17/2021,No,Early Career,29518.16,0.0,9.0,0.0,Medium
27,39,Female,Medium,4-8 Lakh,Business,Tier 1,1/16/2024,No,Mid Career,16492.99,0.0,15.0,0.0,Low
28,61,Male,Low,2-4 Lakh,Student,Tier 1,2/20/2022,No,Pre-Retirement,4460.179999999999,0.0,8.0,0.0,Low
29,42,Male,Medium,4-8 Lakh,Business,Tier 2,7/29/2022,No,Family Stage,19529.76,0.0,12.0,0.0,Low
30,44,Female,High,8+ Lakh,Self-Employed,Tier 1,4/18/2023,Yes,Family Stage,13549.75,340.82,12.0,0.02515323160943929,Low
31,59,Male,Medium,4-8 Lakh,Self-Employed,Tier 3,8/5/2020,No,Pre-Retirement,27422.280000000002,0.0,13.0,0.0,Medium
32,45,Female,Medium,4-8 Lakh,Business,Tier 3,9/21/2021,Yes,Family Stage,28118.96,1201.23,13.0,0.04271957426590457,Medium
33,33,Male,Medium,4-8 Lakh,Salaried,Tier 3,3/28/2022,No,Mid Career,20164.579999999998,1613.5,11.0,0.08001654386057136,Medium
34,32,Male,High,8+ Lakh,Unemployed,Tier 1,4/12/2022,No,Mid Career,8593.76,3391.83,8.0,0.39468521345720614,Low
35,64,Female,Medium,4-8 Lakh,Unemployed,Tier 3,2/11/2025,No,Pre-Retirement,16850.489999999998,4535.9,11.0,0.2691850504050624,Low
