customer_id,age,gender,income_bracket,income_range,occupation,city_tier,join_date,churn_flag,age_group
1,56,Male,Medium,4-8 Lakh,Salaried,Tier 3,8/26/2023,No,Pre-Retirement
2,46,Male,High,8+ Lakh,Salaried,Tier 1,4/22/2020,Yes,Family Stage
3,32,Female,High,8+ Lakh,Self-Employed,Tier 1,7/17/2023,No,Mid Career
4,60,Female,Medium,4-8 Lakh,Self-Employed,Tier 2,11/15/2020,No,Pre-Retirement
5,25,Female,High,8+ Lakh,Business,Tier 3,5/23/2025,No,Early Career
6,38,Female,Medium,4-8 Lakh,Business,Tier 3,6/23/2020,No,Mid Career
7,56,Male,High,8+ Lakh,Salaried,Tier 1,1/19/2025,No,Pre-Retirement
8,36,Female,Low,2-4 Lakh,Business,Tier 2,11/8/2022,No,Mid Career
9,40,Male,Low,2-4 Lakh,Business,Tier 2,5/11/2023,No,Family Stage
10,28,Male,Medium,4-8 Lakh,Self-Employed,Tier 3,5/12/2025,No,Early Career
11,28,Female,Medium,4-8 Lakh,Student,Tier 2,6/7/2025,No,Early Career
12,41,Male,Medium,4-8 Lakh,Unemployed,Tier 2,5/5/2020,No,Family Stage
13,53,Male,Medium,4-8 Lakh,Unemployed,Tier 1,9/21/2022,No,Family Stage
14,57,Male,Low,2-4 Lakh,Business,Tier 1,1/30/2024,No,Pre-Retirement
15,41,Male,Medium,4-8 Lakh,Business,Tier 2,9/10/2020,No,Family Stage
16,20,Female,Low,2-4 Lakh,Unemployed,Tier 1,1/25/2025,Yes,Student
17,39,Female,High,8+ Lakh,Self-Employed,Tier 2,7/17/2022,No,Mid Career
18,19,Male,High,8+ Lakh,Unemployed,Tier 1,2/5/2022,No,Student
19,41,Female,High,8+ Lakh,Unemployed,Tier 3,12/28/2024,No,Family Stage
20,61,Male,Low,2-4 Lakh,Unemployed,Tier 1,10/18/2020,Yes,Pre-Retirement
21,47,Female,Medium,4-8 Lakh,Business,Tier 3,3/21/2023,No,Family Stage
22,55,Female,High,8+ Lakh,Business,Tier 2,5/16/2025,Yes,Pre-Retirement
23,19,Female,High,8+ Lakh,Unemployed,Tier 1,7/17/2020,No,Student
24,38,Female,Medium,4-8 Lakh,Business,Tier 1,5/7/2023,No,Mid Career
25,50,Female,Medium,4-8 Lakh,Unemployed,Tier 3,1/11/2025,Yes,Family Stage
26,29,Male,Medium,4-8 Lakh,Self-Employed,Tier 1,11/17/2021,No,Early Career
27,39,Female,Medium,4-8 Lakh,Business,Tier 1,1/16/2024,No,Mid Career
28,61,Male,Low,2-4 Lakh,Student,Tier 1,2/20/2022,No,Pre-Retirement
29,42,Male,Medium,4-8 Lakh,Business,Tier 2,7/29/2022,No,Family Stage
30,44,Female,High,8+ Lakh,Self-Employed,Tier 1,4/18/2023,Yes,Family Stage
31,59,Male,Medium,4-8 Lakh,Self-Employed,Tier 3,8/5/2020,No,Pre-Retirement
32,45,Female,Medium,4-8 Lakh,Business,Tier 3,9/21/2021,Yes,Family Stage
33,33,Male,Medium,4-8 Lakh,Salaried,Tier 3,3/28/2022,No,Mid Career
34,32,Male,High,8+ Lakh,Unemployed,Tier 1,4/12/2022,No,Mid Career
35,64,Female,Medium,4-8 Lakh,Unemployed,Tier 3,2/11/2025,No,Pre-Retirement
36,61,Female,Medium,4-8 Lakh,Self-Employed,Tier 2,9/5/2023,No,Pre-Retirement
37,20,Female,Medium,4-8 Lakh,Business,Tier 3,1/23/2020,Yes,Student
38,54,Female,Medium,4-8 Lakh,Salaried,Tier 2,9/28/2021,No,Family Stage
39,24,Male,Medium,4-8 Lakh,Student,Tier 1,1/12/2023,No,Early Career
40,38,Female,Medium,4-8 Lakh,Unemployed,Tier 3,12/11/2021,No,Mid Career
41,26,Male,Medium,4-8 Lakh,Salaried,Tier 2,9/11/2023,No,Early Career
42,56,Male,Medium,4-8 Lakh,Unemployed,Tier 3,11/29/2021,No,Pre-Retirement
43,35,Male,Low,2-4 Lakh,Business,Tier 1,11/24/2020,Yes,Mid Career
44,21,Male,Low,2-4 Lakh,Unemployed,Tier 3,6/15/2024,No,Student
45,42,Male,Low,2-4 Lakh,Student,Tier 1,9/15/2023,No,Family Stage
46,31,Male,High,8+ Lakh,Business,Tier 1,9/13/2024,No,Mid Career
47,26,Female,Low,2-4 Lakh,Self-Employed,Tier 2,10/28/2024,No,Early Career
48,43,Male,Low,2-4 Lakh,Salaried,Tier 2,12/11/2021,Yes,Family Stage
49,19,Male,Low,2-4 Lakh,Unemployed,Tier 2,4/17/2021,Yes,Student
50,37,Male,Medium,4-8 Lakh,Business,Tier 2,4/22/2021,Yes,Mid Career
51,45,Female,Low,2-4 Lakh,Business,Tier 1,6/12/2023,No,Family Stage
52,64,Female,Medium,4-8 Lakh,Unemployed,Tier 2,7/10/2022,No,Pre-Retirement
53,24,Male,Low,2-4 Lakh,Self-Employed,Tier 1,7/9/2021,No,Early Career
54,61,Female,High,8+ Lakh,Unemployed,Tier 2,8/10/2021,Yes,Pre-Retirement
