customer_id,age,gender,income_bracket,occupation,city_tier,join_date,churn_flag
1,56,Male,Medium,Salaried,Tier 3,2023-08-26,No
2,46,Male,High,Salaried,Tier 1,2020-04-22,Yes
3,32,Female,High,Self-Employed,Tier 1,2023-07-17,No
4,60,Female,Medium,Self-Employed,Tier 2,2020-11-15,No
5,25,Female,High,Business,Tier 3,2025-05-23,No
6,38,Female,Medium,Business,Tier 3,2020-06-23,No
7,56,Male,High,Salaried,Tier 1,2025-01-19,No
8,36,Female,Low,Business,Tier 2,2022-11-08,No
9,40,Male,Low,Business,Tier 2,2023-05-11,No
10,28,Male,Medium,Self-Employed,Tier 3,2025-05-12,No
11,28,Female,Medium,Student,Tier 2,2025-06-07,No
12,41,Male,Medium,Unemployed,Tier 2,2020-05-05,No
13,53,Male,Medium,Unemployed,Tier 1,2022-09-21,No
14,57,Male,Low,Business,Tier 1,2024-01-30,No
15,41,Male,Medium,Business,Tier 2,2020-09-10,No
16,20,Female,Low,Unemployed,Tier 1,2025-01-25,Yes
17,39,Female,High,Self-Employed,Tier 2,2022-07-17,No
18,19,Male,High,Unemployed,Tier 1,2022-02-05,No
19,41,Female,High,Unemployed,Tier 3,2024-12-28,No
20,61,Male,Low,Unemployed,Tier 1,2020-10-18,Yes
21,47,Female,Medium,Business,Tier 3,2023-03-21,No
22,55,Female,High,Business,Tier 2,2025-05-16,Yes
23,19,Female,High,Unemployed,Tier 1,2020-07-17,No
24,38,Female,Medium,Business,Tier 1,2023-05-07,No
25,50,Female,Medium,Unemployed,Tier 3,2025-01-11,Yes
26,29,Male,Medium,Self-Employed,Tier 1,2021-11-17,No
27,39,Female,Medium,Business,Tier 1,2024-01-16,No
28,61,Male,Low,Student,Tier 1,2022-02-20,No
29,42,Male,Medium,Business,Tier 2,2022-07-29,No
30,44,Female,High,Self-Employed,Tier 1,2023-04-18,Yes
31,59,Male,Medium,Self-Employed,Tier 3,2020-08-05,No
32,45,Female,Medium,Business,Tier 3,2021-09-21,Yes
33,33,Male,Medium,Salaried,Tier 3,2022-03-28,No
34,32,Male,High,Unemployed,Tier 1,2022-04-12,No
35,64,Female,Medium,Unemployed,Tier 3,2025-02-11,No
36,61,Female,Medium,Self-Employed,Tier 2,2023-09-05,No
37,20,Female,Medium,Business,Tier 3,2020-01-23,Yes
38,54,Female,Medium,Salaried,Tier 2,2021-09-28,No
39,24,Male,Medium,Student,Tier 1,2023-01-12,No
40,38,Female,Medium,Unemployed,Tier 3,2021-12-11,No
41,26,Male,Medium,Salaried,Tier 2,2023-09-11,No
42,56,Male,Medium,Unemployed,Tier 3,2021-11-29,No
43,35,Male,Low,Business,Tier 1,2020-11-24,Yes
44,21,Male,Low,Unemployed,Tier 3,2024-06-15,No
45,42,Male,Low,Student,Tier 1,2023-09-15,No
46,31,Male,High,Business,Tier 1,2024-09-13,No
47,26,Female,Low,Self-Employed,Tier 2,2024-10-28,No
48,43,Male,Low,Salaried,Tier 2,2021-12-11,Yes
49,19,Male,Low,Unemployed,Tier 2,2021-04-17,Yes
50,37,Male,Medium,Business,Tier 2,2021-04-22,Yes
51,45,Female,Low,Business,Tier 1,2023-06-12,No
52,64,Female,Medium,Unemployed,Tier 2,2022-07-10,No
53,24,Male,Low,Self-Employed,Tier 1,2021-07-09,No
54,61,Female,High,Unemployed,Tier 2,2021-08-10,Yes
55,25,Male,High,Self-Employed,Tier 1,2024-08-03,Yes
56,64,Female,High,Unemployed,Tier 1,2021-11-24,No
57,52,Male,Medium,Business,Tier 3,2020-04-28,No
58,31,Female,Medium,Student,Tier 1,2022-11-29,No
59,34,Female,Medium,Student,Tier 2,2020-09-16,No
60,53,Female,Low,Business,Tier 1,2022-08-06,No
61,57,Male,Medium,Student,Tier 1,2022-01-25,No
62,21,Male,Low,Self-Employed,Tier 2,2024-07-22,No
63,19,Male,Medium,Business,Tier 2,2020-01-06,Yes
64,23,Female,Low,Self-Employed,Tier 2,2020-11-06,No
65,59,Female,Medium,Business,Tier 3,2020-03-06,No
66,21,Male,Medium,Self-Employed,Tier 3,2023-10-29,No
67,46,Female,Medium,Self-Employed,Tier 3,2021-12-31,No
68,35,Male,High,Student,Tier 2,2023-03-15,No
69,43,Male,Medium,Business,Tier 2,2023-06-11,No
70,61,Male,Medium,Unemployed,Tier 2,2020-01-29,No
71,51,Male,Medium,Student,Tier 2,2025-01-18,No
72,27,Female,Low,Self-Employed,Tier 2,2024-08-23,Yes
73,53,Female,Medium,Self-Employed,Tier 1,2024-07-24,No
74,31,Female,High,Unemployed,Tier 1,2021-10-21,No
75,48,Male,High,Unemployed,Tier 1,2022-06-18,No
76,32,Female,Medium,Self-Employed,Tier 1,2024-06-05,No
77,25,Male,Low,Unemployed,Tier 1,2022-06-22,No
78,31,Male,Low,Salaried,Tier 2,2024-02-02,No
79,40,Male,Medium,Student,Tier 1,2020-12-26,No
80,57,Male,High,Business,Tier 2,2025-02-20,Yes
81,38,Male,Medium,Unemployed,Tier 3,2024-06-06,No
82,33,Male,High,Unemployed,Tier 1,2025-05-01,No
83,62,Female,Medium,Salaried,Tier 1,2022-08-19,Yes
84,35,Female,Low,Business,Tier 1,2024-05-27,No
85,64,Female,Low,Salaried,Tier 2,2023-10-10,No
86,41,Female,Low,Business,Tier 2,2024-10-15,No
87,43,Male,Medium,Student,Tier 2,2020-01-26,No
88,42,Male,Low,Unemployed,Tier 1,2023-08-06,No
89,62,Female,Medium,Student,Tier 2,2020-03-11,Yes
90,58,Female,Medium,Business,Tier 3,2025-02-28,No
91,46,Female,Low,Unemployed,Tier 1,2024-09-08,No
92,32,Female,Low,Salaried,Tier 3,2023-01-17,Yes
93,62,Female,Low,Self-Employed,Tier 2,2020-06-25,No
94,18,Female,Medium,Salaried,Tier 1,2025-06-15,No
95,42,Female,Medium,Self-Employed,Tier 2,2020-01-27,Yes
